Options:
Model:                           MultiState
Tree File Name:                  _tree_anura_bt.nex
Data File Name:                  _dat_anura.txt
Log File Name:                   anura_rjhp_cov_r1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1952948202
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   anura_rjhp_cov_r1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,S,T,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAS                          RJ MCMC
    qAT                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDS                          RJ MCMC
    qDT                          RJ MCMC
    qDV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qST                          RJ MCMC
    qSV                          RJ MCMC
    qTA                          RJ MCMC
    qTD                          RJ MCMC
    qTS                          RJ MCMC
    qTV                          RJ MCMC
    qVA                          qAV
    qVD                          qDV
    qVS                          qSV
    qVT                          qTV
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       3416
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAS	qAT	qAV	qDA	qDS	qDT	qDV	qSA	qSD	qST	qSV	qTA	qTD	qTS	qTV	qVA	qVD	qVS	qVT	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(S)	Root P(T)	Root P(V)	RJRates - Mean	
170000	-687.015466	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	0.842082	20.305056	0.842082	0.842082	0.000000	0.842082	0.000000	0.000000	0.842082	0.842082	0.842082	0.000000	0.000000	0.000000	0.842082	0.000000	0.842082	0.000000	0.000000	0.000000	4.732234	4.732234	0.999995	0.000000	0.000004	0.000000	0.000001	22.499296	
175000	-688.919498	1	2	7	'0 1 0 0 Z 0 Z Z 0 Z 0 Z Z Z 0 0 	1.217706	21.327708	1.217706	1.217706	0.000000	1.217706	0.000000	0.000000	1.217706	0.000000	1.217706	0.000000	0.000000	0.000000	1.217706	1.217706	1.217706	0.000000	0.000000	1.217706	4.175072	4.175072	0.999991	0.000000	0.000007	0.000000	0.000002	11.900879	
180000	-687.859707	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	1.035081	22.239781	1.035081	1.035081	0.000000	1.035081	0.000000	0.000000	1.035081	1.035081	1.035081	0.000000	0.000000	0.000000	1.035081	0.000000	1.035081	0.000000	0.000000	0.000000	5.295487	5.295487	0.999993	0.000000	0.000006	0.000000	0.000001	4.702153	
185000	-692.368047	1	2	5	'0 1 0 0 Z 0 0 Z 0 0 0 Z Z 0 0 Z 	0.955543	16.539090	0.955543	0.955543	0.000000	0.955543	0.955543	0.000000	0.955543	0.955543	0.955543	0.000000	0.000000	0.955543	0.955543	0.000000	0.955543	0.000000	0.000000	0.000000	5.643176	5.643176	0.999990	0.000000	0.000008	0.000000	0.000002	12.464983	
190000	-688.286888	1	2	6	'0 1 0 0 Z 0 Z Z 0 0 0 Z 0 Z 0 Z 	1.007669	20.034818	1.007669	1.007669	0.000000	1.007669	0.000000	0.000000	1.007669	1.007669	1.007669	0.000000	1.007669	0.000000	1.007669	0.000000	1.007669	0.000000	0.000000	0.000000	4.138405	4.138405	0.999984	0.000000	0.000005	0.000010	0.000001	9.816957	
195000	-688.843241	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 1 1 Z 	1.187467	22.536499	1.187467	1.187467	0.000000	1.187467	0.000000	0.000000	1.187467	0.000000	1.187467	0.000000	1.187467	1.187467	1.187467	0.000000	1.187467	0.000000	0.000000	0.000000	3.765924	3.765924	0.999984	0.000000	0.000007	0.000008	0.000001	7.234842	
200000	-689.052974	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z Z 1 1 1 	1.384141	21.909910	1.384141	1.384141	0.000000	1.384141	0.000000	0.000000	1.384141	0.000000	1.384141	0.000000	0.000000	1.384141	1.384141	1.384141	1.384141	0.000000	0.000000	1.384141	4.497426	4.497426	0.999988	0.000000	0.000009	0.000000	0.000003	10.805043	
205000	-688.568913	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	1.091831	18.677137	1.091831	1.091831	0.000000	1.091831	0.000000	0.000000	1.091831	1.091831	1.091831	0.000000	0.000000	0.000000	1.091831	1.091831	1.091831	0.000000	0.000000	1.091831	4.937824	4.937824	0.999990	0.000000	0.000007	0.000000	0.000003	52.870838	
210000	-690.091621	1	2	8	'1 0 1 1 Z 1 Z Z 1 Z 1 Z Z Z 1 Z 	1.777747	26.716405	1.777747	1.777747	0.000000	1.777747	0.000000	0.000000	1.777747	0.000000	1.777747	0.000000	0.000000	0.000000	1.777747	0.000000	1.777747	0.000000	0.000000	0.000000	4.701041	4.701041	0.999985	0.000000	0.000011	0.000000	0.000003	86.827264	
215000	-696.161316	1	2	4	'1 0 1 1 Z 1 1 Z 1 1 1 Z Z 1 1 1 	0.849417	14.761400	0.849417	0.849417	0.000000	0.849417	0.849417	0.000000	0.849417	0.849417	0.849417	0.000000	0.000000	0.849417	0.849417	0.849417	0.849417	0.000000	0.000000	0.849417	7.477305	7.477305	0.999985	0.000000	0.000011	0.000000	0.000004	82.380883	
