Options:
Model:                           MultiState
Tree File Name:                  _tree_caudata_bt.nex
Data File Name:                  _dat_caudata.txt
Log File Name:                   caudata_rjhp_cov_r3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2822677083
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   2500
Iterations:                      30010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   caudata_rjhp_cov_r3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,P,S,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAP                          RJ MCMC
    qAS                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDP                          RJ MCMC
    qDS                          RJ MCMC
    qDV                          RJ MCMC
    qPA                          RJ MCMC
    qPD                          RJ MCMC
    qPS                          RJ MCMC
    qPV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qSP                          RJ MCMC
    qSV                          RJ MCMC
    qVA                          RJ MCMC
    qVD                          RJ MCMC
    qVP                          RJ MCMC
    qVS                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       546
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAP	qAS	qAV	qDA	qDP	qDS	qDV	qPA	qPD	qPS	qPV	qSA	qSD	qSP	qSV	qVA	qVD	qVP	qVS	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(P)	Root P(S)	Root P(V)	RJRates - Mean	
90000	-113.696533	1	1	10	'Z 0 0 Z 0 0 0 Z Z 0 Z Z 0 0 Z 0 Z Z Z 0 	0.000000	6.166525	6.166525	0.000000	6.166525	6.166525	6.166525	0.000000	0.000000	6.166525	0.000000	0.000000	6.166525	6.166525	0.000000	6.166525	0.000000	0.000000	0.000000	6.166525	3.382262	3.382262	0.754811	0.150145	0.043548	0.050670	0.000827	60.391801	
92500	-113.327463	1	1	10	'Z 0 0 Z 0 Z 0 0 Z Z Z Z 0 0 0 0 Z 0 Z Z 	0.000000	5.784770	5.784770	0.000000	5.784770	0.000000	5.784770	5.784770	0.000000	0.000000	0.000000	0.000000	5.784770	5.784770	5.784770	5.784770	0.000000	5.784770	0.000000	0.000000	5.391176	5.391176	0.929423	0.030551	0.000000	0.039613	0.000413	28.769080	
95000	-114.349308	1	1	11	'Z 0 0 Z 0 Z 0 0 0 Z Z Z 0 0 0 Z Z Z Z Z 	0.000000	7.406777	7.406777	0.000000	7.406777	0.000000	7.406777	7.406777	7.406777	0.000000	0.000000	0.000000	7.406777	7.406777	7.406777	0.000000	0.000000	0.000000	0.000000	0.000000	6.756556	6.756556	0.619329	0.030842	0.251506	0.098323	0.000000	59.407908	
97500	-112.761775	1	1	9	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 0 0 0 Z 0 0 	0.000000	7.682493	7.682493	0.000000	7.682493	0.000000	7.682493	0.000000	0.000000	0.000000	0.000000	0.000000	7.682493	7.682493	7.682493	7.682493	7.682493	0.000000	7.682493	7.682493	6.271965	6.271965	0.783693	0.081934	0.000000	0.071689	0.062684	52.108463	
100000	-114.639352	1	2	11	'Z 1 1 Z 0 Z 1 Z 1 Z Z Z 0 1 Z 0 Z Z Z 0 	0.000000	7.677804	7.677804	0.000000	11.353105	0.000000	7.677804	0.000000	7.677804	0.000000	0.000000	0.000000	11.353105	7.677804	0.000000	11.353105	0.000000	0.000000	0.000000	11.353105	9.993649	9.993649	0.595632	0.059522	0.313170	0.030278	0.001397	65.973442	
102500	-113.543708	1	1	12	'Z 0 0 Z 0 0 0 Z Z Z Z Z Z 0 Z 0 0 Z Z Z 	0.000000	8.531412	8.531412	0.000000	8.531412	8.531412	8.531412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.531412	0.000000	8.531412	8.531412	0.000000	0.000000	0.000000	6.728196	6.728196	0.878618	0.077634	0.000000	0.011921	0.031827	77.650268	
105000	-112.248788	1	1	12	'Z 0 0 Z 0 Z 0 Z Z Z Z 0 0 0 Z Z Z Z 0 Z 	0.000000	6.213823	6.213823	0.000000	6.213823	0.000000	6.213823	0.000000	0.000000	0.000000	0.000000	6.213823	6.213823	6.213823	0.000000	0.000000	0.000000	0.000000	6.213823	0.000000	3.922008	3.922008	0.887168	0.061017	0.000000	0.051816	0.000000	39.015077	
107500	-111.534914	1	2	10	'Z 0 0 Z Z Z 1 Z 1 Z Z 0 0 0 Z 0 Z 0 Z 1 	0.000000	6.787282	6.787282	0.000000	0.000000	0.000000	0.263983	0.000000	0.263983	0.000000	0.000000	6.787282	6.787282	6.787282	0.000000	6.787282	0.000000	6.787282	0.000000	0.263983	6.586888	6.586888	0.990084	0.000000	0.000354	0.009562	0.000000	13.233866	
110000	-114.289660	1	1	9	'Z 0 0 Z 0 0 0 Z 0 0 Z Z Z Z Z 0 0 Z 0 0 	0.000000	6.935746	6.935746	0.000000	6.935746	6.935746	6.935746	0.000000	6.935746	6.935746	0.000000	0.000000	0.000000	0.000000	0.000000	6.935746	6.935746	0.000000	6.935746	6.935746	4.992489	4.992489	0.310096	0.075062	0.547452	0.001753	0.065636	3.431485	
112500	-118.216199	1	1	8	'Z 0 0 Z 0 Z 0 Z 0 Z Z 0 0 Z 0 0 0 Z 0 0 	0.000000	7.146748	7.146748	0.000000	7.146748	0.000000	7.146748	0.000000	7.146748	0.000000	0.000000	7.146748	7.146748	0.000000	7.146748	7.146748	7.146748	0.000000	7.146748	7.146748	5.761858	5.761858	0.000004	0.999992	0.000003	0.000001	0.000001	43.652429	
