Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
252	0.317460	134	0.447761	43	0.186047	71	0.943662	3.830024	386	0.362694	0.430000	0.369763	
566	0.208481	220	0.404545	97	0.206186	117	0.991453	3.830024	786	0.263359	0.343000	0.369622	
296	0.216216	108	0.324074	37	0.270270	59	0.983051	3.830024	404	0.245050	0.334000	0.369545	
556	0.289568	226	0.278761	106	0.103774	112	1.000000	3.830024	782	0.286445	0.347000	0.369416	
283	0.261484	112	0.303571	44	0.159091	61	1.000000	3.830024	395	0.273418	0.352000	0.369230	
563	0.230906	246	0.300813	78	0.089744	113	1.000000	3.830024	809	0.252163	0.324000	0.369110	
298	0.291946	119	0.344538	33	0.181818	50	1.000000	3.830024	417	0.306954	0.368000	0.368989	
583	0.262436	216	0.324074	74	0.189189	127	1.000000	3.830024	799	0.279099	0.364000	0.368996	
276	0.304348	109	0.348624	39	0.153846	76	1.000000	3.830024	385	0.316883	0.408000	0.369155	
532	0.234962	241	0.344398	94	0.127660	133	0.984962	3.830024	773	0.269082	0.351000	0.368996	
276	0.286232	124	0.370968	38	0.078947	62	1.000000	3.830024	400	0.312500	0.380000	0.369108	
574	0.214286	243	0.304527	63	0.079365	120	1.000000	3.830024	817	0.241126	0.322000	0.369018	
266	0.285714	128	0.328125	45	0.155556	61	0.983607	3.830024	394	0.299492	0.370000	0.369000	
558	0.293907	237	0.291139	81	0.185185	124	0.991935	3.830024	795	0.293082	0.371000	0.369060	
273	0.245421	112	0.392857	51	0.078431	64	0.953125	3.830024	385	0.288312	0.352000	0.369063	
573	0.223386	220	0.359091	80	0.200000	127	0.921260	3.830024	793	0.261034	0.340000	0.368898	
276	0.166667	114	0.377193	37	0.108108	73	0.958904	3.830024	390	0.228205	0.326000	0.368866	
553	0.193490	223	0.426009	87	0.206897	137	0.956204	3.830024	776	0.260309	0.351000	0.368786	
274	0.211679	120	0.375000	36	0.138889	70	0.985714	3.830024	394	0.261421	0.354000	0.368763	
548	0.197080	205	0.360976	82	0.231707	165	0.896970	3.830024	753	0.241700	0.349000	0.368576	
270	0.229630	120	0.266667	55	0.236364	55	0.927273	3.830024	390	0.241026	0.316000	0.368266	
544	0.238971	205	0.351220	104	0.125000	147	0.918367	3.830024	749	0.269693	0.350000	0.368044	
283	0.222615	117	0.435897	50	0.240000	50	0.960000	3.830024	400	0.285000	0.348000	0.367974	
559	0.228980	225	0.351111	82	0.158537	134	0.888060	3.830024	784	0.264031	0.339000	0.367851	
285	0.259649	115	0.391304	44	0.181818	56	0.928571	3.830024	400	0.297500	0.358000	0.367700	
543	0.178637	236	0.402542	82	0.182927	139	0.992806	3.830024	779	0.246470	0.345000	0.367523	
283	0.268551	109	0.422018	48	0.020833	60	1.000000	3.830024	392	0.311224	0.366000	0.367221	
555	0.255856	248	0.338710	75	0.226667	122	0.967213	3.830024	803	0.281445	0.361000	0.367163	
266	0.236842	116	0.327586	48	0.250000	70	0.871429	3.830024	382	0.264398	0.348000	0.367182	
576	0.197917	230	0.356522	91	0.065934	103	0.912621	3.830024	806	0.243176	0.296000	0.366980	
293	0.218430	103	0.291262	43	0.186047	61	0.950820	3.830024	396	0.237374	0.320000	0.366894	
575	0.255652	214	0.331776	81	0.061728	130	0.992308	3.830024	789	0.276299	0.352000	0.366865	
272	0.290441	123	0.260163	41	0.097561	64	1.000000	3.830024	395	0.281013	0.358000	0.366729	
